,0,1
0,Afghanistan,0
1,Albania,3
2,Algeria,1
3,Angola,1
4,Argentina,1
5,Armenia,0
6,Australia,3
7,Austria,3
8,Azerbaijan,0
9,Bahrain,0
10,Bangladesh,3
11,Barbados,1
12,Belarus,3
13,Belgium,3
14,Belize,1
15,Benin,0
16,Bhutan,3
17,Bolivia,1
18,Botswana,1
19,Brazil,1
20,Bulgaria,3
21,Burkina Faso,0
22,Burundi,3
23,Cambodia,1
24,Cameroon,0
25,Canada,4
26,Central African Republic,1
27,Chad,1
28,Chile,1
29,China,1
30,Colombia,1
31,Comoros,3
32,Costa Rica,1
33,Croatia,3
34,Cuba,1
35,Cyprus,3
36,Czech Republic,3
37,Denmark,2
38,Djibouti,3
39,Dominica,1
40,Dominican Republic,1
41,Ecuador,1
42,El Salvador,1
43,Equatorial Guinea,0
44,Estonia,3
45,Ethiopia,3
46,Fiji,1
47,Finland,5
48,France,3
49,Gabon,0
50,Georgia,0
51,Germany,3
52,Ghana,0
53,Greece,3
54,Grenada,1
55,Guatemala,1
56,Guinea,1
57,Guyana,1
58,Haiti,1
59,Honduras,1
60,Hungary,3
61,Iceland,5
62,India,3
63,Indonesia,1
64,Iraq,0
65,Ireland,3
66,Israel,0
67,Italy,3
68,Jamaica,1
69,Japan,0
70,Jordan,0
71,Kazakhstan,4
72,Kenya,3
73,Kuwait,0
74,Latvia,3
75,Lebanon,0
76,Lesotho,1
77,Liberia,1
78,Libya,0
79,Lithuania,3
80,Luxembourg,3
81,Madagascar,1
82,Malawi,3
83,Malaysia,1
84,Mali,1
85,Malta,3
86,Mauritania,1
87,Mauritius,1
88,Mexico,1
89,Moldova,3
90,Mongolia,0
91,Montenegro,3
92,Morocco,3
93,Mozambique,1
94,Namibia,1
95,Nepal,3
96,Netherlands,3
97,New Zealand,0
98,Nicaragua,1
99,Niger,0
100,Nigeria,0
101,North America,0
102,Norway,5
103,Oman,0
104,Pakistan,3
105,Panama,1
106,Paraguay,3
107,Peru,3
108,Philippines,1
109,Poland,3
110,Portugal,3
111,Qatar,0
112,Romania,3
113,Rwanda,3
114,Samoa,1
115,Saudi Arabia,0
116,Senegal,3
117,Serbia,3
118,Seychelles,3
119,Sierra Leone,0
120,Singapore,1
121,Slovenia,3
122,Solomon Islands,1
123,South Africa,1
124,Spain,3
125,Sri Lanka,3
126,Sudan,1
127,Suriname,1
128,Swaziland,1
129,Sweden,5
130,Switzerland,3
131,Tajikistan,4
132,Tanzania,3
133,Thailand,1
134,Togo,0
135,Tonga,1
136,Tunisia,3
137,Turkey,0
138,Uganda,3
139,Ukraine,3
140,United Arab Emirates,0
141,United Kingdom,3
142,United States,1
143,Uruguay,3
144,Uzbekistan,4
145,Vietnam,1
146,Zambia,1
147,Zimbabwe,1
